Year,Age,No,Name,Movie,imdbID,ambiguous?,bday,bplace
2002,29,1,Adrien Brody,The Pianist,4778,,1973-4-14,"Woodhaven, Queens, New York City, New York, USA"
1954,30,1,Marlon Brando,On The Waterfront,8,,1924-4-3,"Omaha, Nebraska, USA"
1977,30,2,Richard Dreyfuss,The Goodbye Girl,377,,1947-10-29,"Brooklyn, New York City, New York, USA"
1961,31,1,Maximilian Schell,Judgment at Nuremberg,1703,,1930-12-8,"Vienna, Austria"
1995,31,2,Nicolas Cage,Leaving Las Vegas,115,,1964-1-7,"Long Beach, California, USA"
1940,32,1,James Sterart,Philadelphia Story,71,James Stewart,1908-5-20,"Indiana, Pennsylvania, USA"
1989,32,2,Daniel Day-Lewis,My Left Foot,358,,1957-4-29,"Greenwich, London, England, UK"
1934,33,1,Clarke Gable,It Happened One Night,22,Clark Gable,1901-2-1,"Cadiz, Ohio, USA"
2014,33,2,Eddie Redmayne,The Theory of Everything,1519666,,1982-1-6,"London, England, UK"
1933,34,1,Charles Laughton,Private Life Henry VIII,1452,,1899-7-1,"Victoria Hotel, Scarborough, Yorkshire, England, UK"
1939,34,2,Robert Donat,"Goodbye, Mr. Chips",232196,,1905-3-18,"Withington, Manchester, England, UK"
1953,35,1,William Holden,Stalag 17,34,,1918-4-17,"O'Fallon, Illinois, USA"
1959,35,2,Charlton Heston,Ben-Hur,32,,1923-10-4,"Wilmette, Illinois, USA"
1985,35,3,William Hurt,Kiss of the Spider,458,,1950-3-20,"Washington, District of Columbia, USA"
1956,36,1,Yul Brenner,The King And I,458,,1950-3-20,"Washington, District of Columbia, USA"
2000,36,2,Russel Crowe,Galdiator,128,Russell Crowe,1964-4-7,"Wellington, New Zealand"
1937,37,1,Spencer Tracy,Captains Courageous,75,,1900-4-5,"Milwaukee, Wisconsin, USA"
1980,37,2,Robert De Niro,Raging Bull,134,,1943-8-17,"New York City, New York, USA"
1993,37,3,Tom Hanks,Philadelphia,158,,1956-7-9,"Concord, California, USA"
